"part","term","statistic","(1) Shot Factors","(2) + Player","(3) + Team FE","(4) Player FE"
"estimates","(Intercept)","estimate","0.626***","0.709***","",""
"estimates","(Intercept)","std.error","(0.008)","(0.059)","",""
"estimates","shot_distance","estimate","-0.011***","-0.011***","-0.011***","-0.011***"
"estimates","shot_distance","std.error","(0.000)","(0.000)","(0.000)","(0.000)"
"estimates","quarter2","estimate","-0.008***","-0.009***","-0.009***","-0.009***"
"estimates","quarter2","std.error","(0.003)","(0.003)","(0.003)","(0.003)"
"estimates","quarter3","estimate","-0.004","-0.004","-0.004","-0.004"
"estimates","quarter3","std.error","(0.003)","(0.003)","(0.003)","(0.003)"
"estimates","quarter4","estimate","-0.021***","-0.022***","-0.021***","-0.019***"
"estimates","quarter4","std.error","(0.003)","(0.003)","(0.003)","(0.003)"
"estimates","quarter5","estimate","-0.061***","-0.062***","-0.062***","-0.065***"
"estimates","quarter5","std.error","(0.013)","(0.013)","(0.013)","(0.013)"
"estimates","home_game","estimate","0.005**","0.005**","0.005**","0.005**"
"estimates","home_game","std.error","(0.002)","(0.002)","(0.002)","(0.002)"
"estimates","season_year2020","estimate","0.009**","0.011***","0.011***","0.013***"
"estimates","season_year2020","std.error","(0.004)","(0.004)","(0.003)","(0.004)"
"estimates","season_year2024","estimate","0.016***","0.017***","0.017***","0.020***"
"estimates","season_year2024","std.error","(0.004)","(0.004)","(0.003)","(0.005)"
"estimates","age","estimate","","0.002***","0.002***",""
"estimates","age","std.error","","(0.000)","(0.000)",""
"estimates","height_total_inches","estimate","","-0.001","-0.001",""
"estimates","height_total_inches","std.error","","(0.001)","(0.001)",""
"estimates","weight","estimate","","-0.000**","-0.000**",""
"estimates","weight","std.error","","(0.000)","(0.000)",""
"estimates","pos_guard","estimate","","-0.006","-0.005",""
"estimates","pos_guard","std.error","","(0.005)","(0.005)",""
"estimates","pos_forward","estimate","","-0.004","-0.004",""
"estimates","pos_forward","std.error","","(0.004)","(0.004)",""
"gof","Num.Obs.","","200053","200053","200053","200015"
"gof","R2","","0.005","0.006","0.006","0.013"
"gof","R2 Adj.","","0.005","0.006","0.006","0.009"
